Model,RMSE,MAE,R2 Score
Random Forest,50895.533248788735,33722.580449242785,0.8023246675128961
Decision Tree,62817.98350506976,42866.148985712956,0.6988650782185206
Linear Regression,70060.5218447352,50670.738240971914,0.6254240620553605
